turn,player,response,predicted_action,predicted_normalized,chaga_top1_action,chaga_top3_actions,teacher_accept_top3,has_teacher_distribution,top1_match,top3_match,relaxed_match
67,0,Play W7,Play J3,PLAY J3,PLAY W7,PLAY W7|PLAY T1,False,True,False,False,False
71,2,Play B1,Play B1,PLAY B1,PLAY B1,PLAY B1|PLAY W4|PLAY B5,False,True,True,True,True
73,3,Play T3,Play W1,PLAY W1,PLAY T3,PLAY T3,False,True,False,False,False
75,0,Play J3,Play J3,PLAY J3,PLAY J3,PLAY J3|PLAY T1,False,True,True,True,True
79,2,Play B2,Play W1,PLAY W1,PLAY B2,PLAY B2|PLAY B5|PLAY W4,False,True,False,False,False
81,3,Play W7,Play W1,PLAY W1,PLAY W7,PLAY W7,False,True,False,False,False
83,0,Play F1,Play F1,PLAY F1,PLAY F1,PLAY F1,False,True,True,True,True
87,2,Play B4,Play W1,PLAY W1,PLAY B4,PLAY B4|PLAY W4,False,True,False,False,False
89,3,Play W9,Play W1,PLAY W1,PLAY W9,PLAY W9|PLAY W1|PLAY T2,False,True,False,True,False
91,0,Play W2,Play W2,PLAY W2,PLAY W2,PLAY W2,False,True,True,True,True
95,2,Play W4,Play W1,PLAY W1,PLAY W4,PLAY W4|PLAY W1,False,True,False,True,False
99,0,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3,False,True,True,True,True
103,2,Play F1,Play F1,PLAY F1,PLAY F1,PLAY F1|PLAY W4,False,True,True,True,True
105,3,Play J2,Play W6,PLAY W6,PLAY J2,PLAY J2,False,True,False,False,False
107,0,Play B7,Play B7,PLAY B7,PLAY B7,PLAY B7,False,True,True,True,True
111,2,Play F1,Play F1,PLAY F1,PLAY F1,PLAY F1|PLAY W4,False,True,True,True,True
113,3,Play F3,Play F4,PLAY F4,PLAY F3,PLAY F3|PLAY F2|PLAY B1,False,True,False,False,False
115,0,Play T8,Play T8,PLAY T8,PLAY T8,PLAY T8,False,True,True,True,True
119,2,Play W1,Play W1,PLAY W1,PLAY W1,PLAY W1|PLAY B3,False,True,True,True,True
121,3,Play F2,Play F4,PLAY F4,PLAY F2,PLAY F2|PLAY B1|PLAY B4,False,True,False,False,False
123,0,Play B3,Play B3,PLAY B3,PLAY B3,PLAY B3,False,True,True,True,True
127,2,Play B9,Play B9,PLAY B9,PLAY B9,PLAY B9|PLAY B3,False,True,True,True,True
129,3,Play W8,Play F4,PLAY F4,PLAY W8,PLAY W8|PLAY B1|PLAY W9,False,True,False,False,False
131,0,Play W2,Play W2,PLAY W2,PLAY W2,PLAY W2,False,True,True,True,True
4,1,Play W5,Play F3,PLAY F3,PLAY W5,PLAY W5|PLAY B7|PLAY F4,True,True,False,False,False
6,2,Play F2,Play F2,PLAY F2,PLAY F2,PLAY F2|PLAY T2,True,True,True,True,True
8,3,Play F2,Play F3,PLAY F3,PLAY F2,PLAY F2|PLAY F1|PLAY F3,True,True,False,True,True
12,1,Play W5,Play F3,PLAY F3,PLAY W5,PLAY W5|PLAY F1|PLAY F3,True,True,False,True,True
14,2,Play J3,Play J3,PLAY J3,PLAY J3,PLAY J3,True,True,True,True,True
16,3,Play F1,Play F3,PLAY F3,PLAY F1,PLAY F1|PLAY W6|PLAY F3,True,True,False,True,True
20,1,Play W1,Play F3,PLAY F3,PLAY W1,PLAY W1|PLAY W7|PLAY B7,True,True,False,False,False
22,2,Play T2,Play T9,PLAY T9,PLAY T2,PLAY T2,True,True,False,False,False
24,3,Play T8,Play F3,PLAY F3,PLAY T8,PLAY T8|PLAY J2|PLAY F3,True,True,False,True,True
28,1,Play T8,Play F3,PLAY F3,PLAY T8,PLAY T8|PLAY W1|PLAY B4,True,True,False,False,False
29,2,Chi T7,Chi T7,CHI T7,CHI T7,CHI T7,False,True,True,True,True
31,3,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3|PLAY J2,True,True,True,True,True
35,1,Play B5,Play F3,PLAY F3,PLAY B5,PLAY B5|PLAY F3|PLAY W1,True,True,False,True,True
37,2,Play W9,Play W9,PLAY W9,PLAY W9,PLAY W9|PLAY T4|PLAY T8,True,True,True,True,True
39,3,Play J2,Play J2,PLAY J2,PLAY J2,PLAY J2|PLAY W6,True,True,True,True,True
45,2,Play T4,Play T8,PLAY T8,PLAY T4,PLAY T4|PLAY T6|PLAY T8,True,True,False,True,True
47,3,Play T7,Play T1,PLAY T1,PLAY T7,PLAY T7|PLAY W6,True,True,False,False,False
51,1,Play T1,Play F3,PLAY F3,PLAY T1,PLAY T1|PLAY W4,True,True,False,False,False
53,2,Play B6,Play T8,PLAY T8,PLAY B6,PLAY B6|PLAY W9,True,True,False,False,False
55,3,Play W6,Play W2,PLAY W2,PLAY W6,PLAY W6,False,True,False,False,False
59,1,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3|PLAY F1|PLAY W4,False,True,True,True,True
61,2,Play J1,Play J1,PLAY J1,PLAY J1,PLAY J1,False,True,True,True,True
63,3,Play B8,Play B8,PLAY B8,PLAY B8,PLAY B8,False,True,True,True,True
67,1,Play F1,Play F1,PLAY F1,PLAY F1,PLAY F1|PLAY J1,False,True,True,True,True
69,2,Play F2,Play F2,PLAY F2,PLAY F2,PLAY F2,False,True,True,True,True
71,3,Play B9,Play T1,PLAY T1,PLAY B9,PLAY B9,False,True,False,False,False
75,1,Play J1,Play F4,PLAY F4,PLAY J1,PLAY J1|PLAY B9,False,True,False,False,False
77,2,Play W3,Play W3,PLAY W3,PLAY W3,PLAY W3,False,True,True,True,True
78,3,Chi W3,Chi W3,CHI W3,CHI W3,CHI W3,False,True,True,True,True
82,1,Play B9,Play F4,PLAY F4,PLAY B9,PLAY B9|PLAY T8,False,True,False,False,False
84,2,Play T4,Play T8,PLAY T8,PLAY T4,PLAY T4|PLAY T8,False,True,False,True,False
86,3,Play W3,Play W3,PLAY W3,PLAY W3,PLAY W3,False,True,True,True,True
90,1,Play W3,Play T8,PLAY T8,PLAY W3,PLAY W3|PLAY T8,False,True,False,True,False
92,2,Play T3,Play T9,PLAY T9,PLAY T3,PLAY T3,False,True,False,False,False
94,3,Play W6,Play W6,PLAY W6,PLAY W6,PLAY W6,False,True,True,True,True
97,1,Play T8,Play T8,PLAY T8,PLAY T8,PLAY T8|PLAY T5,False,True,True,True,True
99,2,Play B3,Play T9,PLAY T9,PLAY B3,PLAY B3,False,True,False,False,False
101,3,Play F1,Play F1,PLAY F1,PLAY F1,PLAY F1,False,True,True,True,True
105,1,Play B5,Play W8,PLAY W8,PLAY B5,PLAY B5,False,True,False,False,False
107,2,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3,False,True,True,True,True
109,3,Play T1,Play T1,PLAY T1,PLAY T1,PLAY T1,False,True,True,True,True
112,3,Hu,Hu,HU,HU,HU,False,True,True,True,True
4,1,Play F4,Play F4,PLAY F4,PLAY F4,PLAY F4,True,True,True,True,True
6,2,Play F4,Play F4,PLAY F4,PLAY F4,PLAY F4,True,True,True,True,True
11,1,Chi W8,Chi W8,CHI W8,CHI W8,CHI W8|PASS,False,True,True,True,True
13,2,Play T6,Play B1,PLAY B1,PLAY T6,PLAY T6|PLAY W9|PLAY W6,True,True,False,False,False
18,1,Play F2,Play F2,PLAY F2,PLAY F2,PLAY F2,True,True,True,True,True
20,2,Play W9,Play J3,PLAY J3,PLAY W9,PLAY W9|PLAY B1,True,True,False,False,False
26,1,Play W8,Play T9,PLAY T9,PLAY W8,PLAY W8,True,True,False,False,False
28,2,Play B1,Play B1,PLAY B1,PLAY B1,PLAY B1|PLAY B3,True,True,True,True,True
34,1,Play T4,Play T9,PLAY T9,PLAY T4,PLAY T4|PLAY T9,True,True,False,True,True
36,2,Play B3,Play J3,PLAY J3,PLAY B3,PLAY B3,True,True,False,False,False
41,2,Peng,Gang,GANG,PENG,PENG,False,True,False,False,False
47,1,Play T9,Play T9,PLAY T9,PLAY T9,PLAY T9|PLAY B8,True,True,True,True,True
49,2,Play W1,BuGang B6,BUGANG,PLAY W1,PLAY W1,True,True,False,False,False
55,1,Play W8,Play B8,PLAY B8,PLAY W8,PLAY W8,False,True,False,False,False
57,2,Play J1,BuGang B6,BUGANG,PLAY J1,PLAY J1|BUGANG,False,True,False,True,False
62,2,Peng,Peng,PENG,PENG,PENG,False,True,True,True,True
63,1,Peng,Peng,PENG,PENG,PENG,False,True,True,True,True
65,2,Play B2,Play B6,PLAY B6,PLAY B2,PLAY B2,False,True,False,False,False
71,1,Play T4,Play T4,PLAY T4,PLAY T4,PLAY T4,False,True,True,True,True
73,2,Play T7,Play B6,PLAY B6,PLAY T7,PLAY T7|PLAY B7,False,True,False,False,False
79,1,Play B3,Play B3,PLAY B3,PLAY B3,PLAY B3,False,True,True,True,True
83,2,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3,False,True,True,True,True
2,0,Play J1,Play J3,PLAY J3,PLAY J1,PLAY J1|PLAY B4,True,True,False,False,False
5,0,Peng,Peng,PENG,PENG,PENG,False,True,True,True,True
10,3,Play F4,Play J3,PLAY J3,PLAY F4,PLAY F4|PLAY F2|PLAY J3,True,True,False,True,True
12,0,Play B5,Play J3,PLAY J3,PLAY B5,PLAY B5|PLAY J3,True,True,False,True,True
18,3,Play F2,Play J3,PLAY J3,PLAY F2,PLAY F2|PLAY J3,True,True,False,True,True
20,0,Play J3,Play J3,PLAY J3,PLAY J3,PLAY J3,True,True,True,True,True
28,3,Play J3,Play J3,PLAY J3,PLAY J3,PLAY J3,True,True,True,True,True
30,0,Play J3,Play J3,PLAY J3,PLAY J3,PLAY J3,True,True,True,True,True
36,3,Play B8,Play B8,PLAY B8,PLAY B8,PLAY B8|PLAY W8,True,True,True,True,True
4,1,Play J1,Play F3,PLAY F3,PLAY J1,PLAY J1|PLAY F3,True,True,False,True,True
7,3,Peng,Peng,PENG,PENG,PENG,False,True,True,True,True
11,1,Play F1,Play F3,PLAY F3,PLAY F1,PLAY F1|PLAY F3,True,True,False,True,True
15,3,Play B2,Play F3,PLAY F3,PLAY B2,PLAY B2,True,True,False,False,False
19,1,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3,True,True,True,True,True
23,3,Play J2,Play F3,PLAY F3,PLAY J2,PLAY J2,True,True,False,False,False
31,3,Play F1,Play F3,PLAY F3,PLAY F1,PLAY F1|PLAY F3,True,True,False,True,True
35,1,Play J1,Play J1,PLAY J1,PLAY J1,PLAY J1|PLAY B1,True,True,True,True,True
39,3,Play W9,Play F3,PLAY F3,PLAY W9,PLAY W9|PLAY F3|PLAY W6,True,True,False,True,True
43,1,Play B1,Play B1,PLAY B1,PLAY B1,PLAY B1|PLAY B6,True,True,True,True,True
47,3,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3,True,True,True,True,True
51,1,Play W4,Play B9,PLAY B9,PLAY W4,PLAY W4|PLAY B6,True,True,False,False,False
55,3,Play B1,Play B1,PLAY B1,PLAY B1,PLAY B1,False,True,True,True,True
59,1,Play F4,Play F4,PLAY F4,PLAY F4,PLAY F4|PLAY B6,False,True,True,True,True
63,3,Play B7,Play B4,PLAY B4,PLAY B7,PLAY B7|PLAY B4,False,True,False,True,False
67,1,Play F1,Play F1,PLAY F1,PLAY F1,PLAY F1,False,True,True,True,True
71,3,Play B1,Play B1,PLAY B1,PLAY B1,PLAY B1,False,True,True,True,True
75,1,Play W7,Play B9,PLAY B9,PLAY W7,PLAY W7|PLAY B6|PLAY T1,False,True,False,False,False
79,3,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3,False,True,True,True,True
83,1,Play B6,Play B9,PLAY B9,PLAY B6,PLAY B6,False,True,False,False,False
87,3,Play J1,Play J1,PLAY J1,PLAY J1,PLAY J1,False,True,True,True,True
91,1,Play W2,Play W2,PLAY W2,PLAY W2,PLAY W2,False,True,True,True,True
95,3,Play B2,Play B2,PLAY B2,PLAY B2,PLAY B2,False,True,True,True,True
99,1,Play J2,Play J2,PLAY J2,PLAY J2,PLAY J2,False,True,True,True,True
103,3,Play B8,Play B8,PLAY B8,PLAY B8,PLAY B8,False,True,True,True,True
107,1,Play W8,Play W8,PLAY W8,PLAY W8,PLAY W8,False,True,True,True,True
111,3,Play W7,Play W7,PLAY W7,PLAY W7,PLAY W7,False,True,True,True,True
114,1,Hu,Hu,HU,HU,HU|CHI T8|PASS,False,True,True,True,True
2,0,Play F4,Play F4,PLAY F4,PLAY F4,PLAY F4|PLAY J1,True,True,True,True,True
6,2,Play T6,Play J1,PLAY J1,PLAY T6,PLAY T6|PLAY W9|PLAY B1,True,True,False,False,False
9,0,Play J1,Play J1,PLAY J1,PLAY J1,PLAY J1,True,True,True,True,True
12,2,Peng,Peng,PENG,PENG,PENG,False,True,True,True,True
16,0,Play J2,Play J2,PLAY J2,PLAY J2,PLAY J2,True,True,True,True,True
20,2,Play F2,Play J1,PLAY J1,PLAY F2,PLAY F2|PLAY B1|PLAY W6,True,True,False,False,False
24,0,Play B4,Play B1,PLAY B1,PLAY B4,PLAY B4|PLAY T8,True,True,False,False,False
27,2,Chi T2,Chi T2,CHI T2,CHI T2,CHI T2,False,True,True,True,True
31,0,Play T4,Play W2,PLAY W2,PLAY T4,PLAY T4,True,True,False,False,False
35,2,Play W6,Play J1,PLAY J1,PLAY W6,PLAY W6|PLAY B1|PLAY B9,True,True,False,False,False
39,0,Play W2,Play W1,PLAY W1,PLAY W2,PLAY W2,True,True,False,False,False
43,2,Play B6,Play J1,PLAY J1,PLAY B6,PLAY B6|PLAY B1|PLAY B9,True,True,False,False,False
46,0,Peng,Peng,PENG,PENG,PENG,False,True,True,True,True
50,2,Play T6,Play T6,PLAY T6,PLAY T6,PLAY T6,False,True,True,True,True
54,0,Play B1,Play B9,PLAY B9,PLAY B1,PLAY B1|PLAY T8,False,True,False,False,False
58,2,Play B1,Play J1,PLAY J1,PLAY B1,PLAY B1|PLAY B7,False,True,False,False,False
62,0,Play B9,Play W1,PLAY W1,PLAY B9,PLAY B9|PLAY T8,False,True,False,False,False
67,0,Play B9,Play B9,PLAY B9,PLAY B9,PLAY B9,False,True,True,True,True
71,2,Play W5,Play W5,PLAY W5,PLAY W5,PLAY W5,False,True,True,True,True
4,1,Play W5,Play J1,PLAY J1,PLAY W5,PLAY W5|PLAY W3|PLAY W8,True,True,False,False,False
8,3,Play B6,Play T6,PLAY T6,PLAY B6,PLAY B6|PLAY W3,True,True,False,False,False
11,1,Play J1,Play F3,PLAY F3,PLAY J1,PLAY J1|PLAY W3|PLAY W8,True,True,False,False,False
15,3,Play B6,Play J3,PLAY J3,PLAY B6,PLAY B6|PLAY T8,True,True,False,False,False
19,1,Play B1,Play F3,PLAY F3,PLAY B1,PLAY B1|PLAY W3|PLAY W8,True,True,False,False,False
22,1,Peng,Peng,PENG,PENG,PENG|PASS,False,True,True,True,True
26,3,Play B6,Play T6,PLAY T6,PLAY B6,PLAY B6|PLAY T6,True,True,False,True,True
30,1,Play W8,Play F3,PLAY F3,PLAY W8,PLAY W8|PLAY F3|PLAY W9,True,True,False,True,True
34,3,Play B9,Play T6,PLAY T6,PLAY B9,PLAY B9|PLAY T8|PLAY T6,True,True,False,True,True
41,3,Play W7,Play T6,PLAY T6,PLAY W7,PLAY W7|PLAY T6,True,True,False,True,True
45,1,Play B7,Play F3,PLAY F3,PLAY B7,PLAY B7|PLAY B4,False,True,False,False,False
49,3,Play T6,Play T6,PLAY T6,PLAY T6,PLAY T6|PLAY T8|PLAY T5,True,True,True,True,True
53,1,Play B4,Play F3,PLAY F3,PLAY B4,PLAY B4,False,True,False,False,False
56,3,Play T6,Play T6,PLAY T6,PLAY T6,PLAY T6|PLAY W7,False,True,True,True,True
2,0,Play T6,Play J2,PLAY J2,PLAY T6,PLAY T6|PLAY J2,True,True,False,True,True
4,1,Play T1,Play W1,PLAY W1,PLAY T1,PLAY T1|PLAY T3,True,True,False,False,False
5,0,Peng,Peng,PENG,PENG,PENG,False,True,True,True,True
7,1,Play T3,Play W1,PLAY W1,PLAY T3,PLAY T3,True,True,False,False,False
11,3,Play W4,Play B9,PLAY B9,PLAY W4,PLAY W4|PLAY B5|PLAY B9,True,True,False,True,True
13,0,Play J3,Play J3,PLAY J3,PLAY J3,PLAY J3|PLAY W8|PLAY W9,True,True,True,True,True
15,1,Play T3,Play W1,PLAY W1,PLAY T3,PLAY T3|PLAY W2,True,True,False,False,False
19,3,Play B5,Play F3,PLAY F3,PLAY B5,PLAY B5,True,True,False,False,False
21,0,Play J1,Play J1,PLAY J1,PLAY J1,PLAY J1|PLAY W8,True,True,True,True,True
23,1,Play W2,Play W1,PLAY W1,PLAY W2,PLAY W2,True,True,False,False,False
24,0,Peng,Peng,PENG,PENG,PENG,False,True,True,True,True
26,1,Play W2,Play W1,PLAY W1,PLAY W2,PLAY W2,True,True,False,False,False
30,3,Play W1,Play F3,PLAY F3,PLAY W1,PLAY W1|PLAY B9|PLAY W8,True,True,False,False,False
32,0,Play W9,Play W9,PLAY W9,PLAY W9,PLAY W9|PLAY B5,True,True,True,True,True
34,1,Play J3,Play J3,PLAY J3,PLAY J3,PLAY J3,True,True,True,True,True
38,3,Play J3,Play F3,PLAY F3,PLAY J3,PLAY J3,True,True,False,False,False
40,0,Play B5,Play B1,PLAY B1,PLAY B5,PLAY B5,False,True,False,False,False
46,3,Play J1,Play F3,PLAY F3,PLAY J1,PLAY J1|PLAY F3|PLAY J2,True,True,False,True,True
48,0,Play W5,Play B1,PLAY B1,PLAY W5,PLAY W5,False,True,False,False,False
50,1,Play T7,Play B1,PLAY B1,PLAY T7,PLAY T7|PLAY W9|PLAY B1,False,True,False,True,False
54,3,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3|PLAY J2|PLAY B4,True,True,True,True,True
56,0,Play T5,Play B1,PLAY B1,PLAY T5,PLAY T5,False,True,False,False,False
58,1,Play F2,Play B1,PLAY B1,PLAY F2,PLAY F2|PLAY W9|PLAY B1,False,True,False,True,False
61,3,Chi T7,Chi T8,CHI T8,CHI T7,CHI T7,False,True,False,False,False
63,0,Play F1,Play F1,PLAY F1,PLAY F1,PLAY F1,False,True,True,True,True
65,1,Play W4,Play B1,PLAY B1,PLAY W4,PLAY W4|PLAY W9|PLAY B1,False,True,False,True,False
69,3,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3|PLAY B4,False,True,True,True,True
71,0,Play T7,Play B1,PLAY B1,PLAY T7,PLAY T7,False,True,False,False,False
73,1,Play W6,Play B1,PLAY B1,PLAY W6,PLAY W6|PLAY W9,False,True,False,False,False
77,3,Play B4,Play F4,PLAY F4,PLAY B4,PLAY B4,False,True,False,False,False
79,0,Play B6,Play B1,PLAY B1,PLAY B6,PLAY B6,False,True,False,False,False
81,1,Play T4,Play B1,PLAY B1,PLAY T4,PLAY T4|PLAY W9,False,True,False,False,False
85,3,Play B2,Play F4,PLAY F4,PLAY B2,PLAY B2|PLAY B5,False,True,False,False,False
86,0,Peng,Peng,PENG,PENG,PENG,False,True,True,True,True
89,3,Play B4,Play F4,PLAY F4,PLAY B4,PLAY B4|PLAY F4,False,True,False,True,False
91,0,Play B4,Play B4,PLAY B4,PLAY B4,PLAY B4,False,True,True,True,True
93,1,Play W5,Play B1,PLAY B1,PLAY W5,PLAY W5|PLAY W9,False,True,False,False,False
97,3,Play W1,Play F4,PLAY F4,PLAY W1,PLAY W1|PLAY B5|PLAY F4,False,True,False,True,False
99,0,Play B6,Play B6,PLAY B6,PLAY B6,PLAY B6,False,True,True,True,True
101,1,Play T4,Play B1,PLAY B1,PLAY T4,PLAY T4|PLAY W9,False,True,False,False,False
106,0,Play B7,Play B7,PLAY B7,PLAY B7,PLAY B7,False,True,True,True,True
108,1,Play W9,Play B1,PLAY B1,PLAY W9,PLAY W9|PLAY W4|PLAY B1,False,True,False,True,False
112,3,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3,False,True,True,True,True
114,0,Play T5,Play T5,PLAY T5,PLAY T5,PLAY T5,False,True,True,True,True
116,1,Play W4,Play B1,PLAY B1,PLAY W4,PLAY W4|PLAY T3|PLAY J3,False,True,False,False,False
120,3,Play T9,Play T9,PLAY T9,PLAY T9,PLAY T9,False,True,True,True,True
4,1,Play B1,Play J2,PLAY J2,PLAY B1,PLAY B1|PLAY F2,True,True,False,False,False
6,2,Play F1,Play F1,PLAY F1,PLAY F1,PLAY F1|PLAY J1|PLAY W9,True,True,True,True,True
9,1,Play B9,Play F3,PLAY F3,PLAY B9,PLAY B9|PLAY F2,True,True,False,False,False
11,2,Play J1,Play J1,PLAY J1,PLAY J1,PLAY J1|PLAY W9,True,True,True,True,True
13,3,Play T2,Play F3,PLAY F3,PLAY T2,PLAY T2|PLAY B2|PLAY W9,True,True,False,False,False
17,1,Play B6,Play F3,PLAY F3,PLAY B6,PLAY B6|PLAY F2,True,True,False,False,False
19,2,Play W9,Play T9,PLAY T9,PLAY W9,PLAY W9|PLAY B6,True,True,False,False,False
21,3,Play B2,Play F1,PLAY F1,PLAY B2,PLAY B2|PLAY W9,True,True,False,False,False
25,1,Play W1,Play W1,PLAY W1,PLAY W1,PLAY W1|PLAY F2|PLAY W4,True,True,True,True,True
27,2,Play B6,Play T9,PLAY T9,PLAY B6,PLAY B6|PLAY T9,True,True,False,True,True
29,3,Play T5,Play B1,PLAY B1,PLAY T5,PLAY T5|PLAY B1,True,True,False,True,True
33,1,Play F2,Play J3,PLAY J3,PLAY F2,PLAY F2|PLAY W4,True,True,False,False,False
35,2,Play B5,Play T9,PLAY T9,PLAY B5,PLAY B5|PLAY T9,True,True,False,True,True
37,3,Play W3,Play W3,PLAY W3,PLAY W3,PLAY W3|PLAY B3,True,True,True,True,True
41,1,Play T6,Play F3,PLAY F3,PLAY T6,PLAY T6|PLAY J3,True,True,False,False,False
43,2,Play B8,Play T9,PLAY T9,PLAY B8,PLAY B8|PLAY T9,True,True,False,True,True
44,1,Peng,Peng,PENG,PENG,PENG,False,True,True,True,True
46,2,Play B4,Play T9,PLAY T9,PLAY B4,PLAY B4|PLAY T9,False,True,False,True,False
48,3,Play W9,Play F1,PLAY F1,PLAY W9,PLAY W9|PLAY B1|PLAY B3,True,True,False,False,False
52,1,Play J1,Play J1,PLAY J1,PLAY J1,PLAY J1,False,True,True,True,True
54,2,Play J3,Play J3,PLAY J3,PLAY J3,PLAY J3,False,True,True,True,True
56,3,Play T6,Play T6,PLAY T6,PLAY T6,PLAY T6|PLAY W9|PLAY B1,True,True,True,True,True
59,1,Chi T3,Chi T3,CHI T3,CHI T3,CHI T3,False,True,True,True,True
61,2,Play B9,Play T9,PLAY T9,PLAY B9,PLAY B9,False,True,False,False,False
63,3,Play W8,Play B1,PLAY B1,PLAY W8,PLAY W8|PLAY W9|PLAY B1,False,True,False,True,False
66,1,Play J2,Play W5,PLAY W5,PLAY J2,PLAY J2|PLAY W4|PLAY W8,False,True,False,False,False
68,2,Play B3,Play T9,PLAY T9,PLAY B3,PLAY B3|PLAY T9,False,True,False,True,False
70,3,Play W1,Play W1,PLAY W1,PLAY W1,PLAY W1|PLAY W9|PLAY B3,False,True,True,True,True
74,1,Play T9,Play T9,PLAY T9,PLAY T9,PLAY T9|PLAY W4,False,True,True,True,True
76,2,Play B7,Play T9,PLAY T9,PLAY B7,PLAY B7|PLAY T9,False,True,False,True,False
78,3,Play W9,Play B1,PLAY B1,PLAY W9,PLAY W9|PLAY B1|PLAY B3,False,True,False,True,False
82,1,Play B9,Play B9,PLAY B9,PLAY B9,PLAY B9|PLAY W8,False,True,True,True,True
84,2,Play B7,Play T9,PLAY T9,PLAY B7,PLAY B7|PLAY T9,False,True,False,True,False
86,3,Play W6,Play B1,PLAY B1,PLAY W6,PLAY W6|PLAY B1|PLAY B3,False,True,False,True,False
90,1,Play T5,Play W5,PLAY W5,PLAY T5,PLAY T5|PLAY W8,False,True,False,False,False
92,2,Play T9,Play T9,PLAY T9,PLAY T9,PLAY T9|PLAY W3,False,True,True,True,True
94,3,Play B8,Play B8,PLAY B8,PLAY B8,PLAY B8|PLAY B1|PLAY B3,False,True,True,True,True
96,1,Chi W4,Chi W4,CHI W4,CHI W4,CHI W4,False,True,True,True,True
97,2,Chi W4,Chi W4,CHI W4,CHI W4,CHI W4|PASS,False,True,True,True,True
99,3,Play B1,Play B1,PLAY B1,PLAY B1,PLAY B1|PLAY B3|PLAY T2,False,True,True,True,True
103,1,Play F4,Play F4,PLAY F4,PLAY F4,PLAY F4,False,True,True,True,True
105,2,Play W2,Play W2,PLAY W2,PLAY W2,PLAY W2,False,True,True,True,True
107,3,Play B3,Play T2,PLAY T2,PLAY B3,PLAY B3|PLAY T2|PLAY W8,False,True,False,True,False
111,1,Play W4,Play W4,PLAY W4,PLAY W4,PLAY W4,False,True,True,True,True
113,2,Play T7,Play T7,PLAY T7,PLAY T7,PLAY T7|PLAY W2|PLAY T3,False,True,True,True,True
115,3,Play J1,Play J1,PLAY J1,PLAY J1,PLAY J1|PLAY T2|PLAY W8,False,True,True,True,True
119,1,Play W8,Play W8,PLAY W8,PLAY W8,PLAY W8|PLAY W7,False,True,True,True,True
121,2,Play W6,Play W6,PLAY W6,PLAY W6,PLAY W6,False,True,True,True,True
123,3,Play W8,Play T2,PLAY T2,PLAY W8,PLAY W8|PLAY W7|PLAY T2,False,True,False,True,False
127,1,Play W7,Play W6,PLAY W6,PLAY W7,PLAY W7,False,True,False,False,False
129,2,Play J2,Play J2,PLAY J2,PLAY J2,PLAY J2|PLAY W2,False,True,True,True,True
2,0,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3|PLAY J3|PLAY J1,True,True,True,True,True
4,1,Play F2,Play F4,PLAY F4,PLAY F2,PLAY F2|PLAY F4|PLAY T9,True,True,False,True,True
6,2,Play B6,Play J2,PLAY J2,PLAY B6,PLAY B6|PLAY W8|PLAY W6,True,True,False,False,False
10,0,Play J1,Play J3,PLAY J3,PLAY J1,PLAY J1|PLAY J3,True,True,False,True,True
11,2,Peng,Peng,PENG,PENG,PENG,False,True,True,True,True
15,0,Play J3,Play J3,PLAY J3,PLAY J3,PLAY J3,True,True,True,True,True
17,1,Play F4,Play F4,PLAY F4,PLAY F4,PLAY F4|PLAY F1,True,True,True,True,True
20,0,Play F4,Play F4,PLAY F4,PLAY F4,PLAY F4|PLAY B5,True,True,True,True,True
22,1,Play F1,Play F1,PLAY F1,PLAY F1,PLAY F1|PLAY T9,True,True,True,True,True
24,2,Play W6,Play J2,PLAY J2,PLAY W6,PLAY W6|PLAY B5,True,True,False,False,False
27,0,Play B5,Play B1,PLAY B1,PLAY B5,PLAY B5|PLAY W2|PLAY B1,True,True,False,True,True
28,1,Chi B4,Chi B4,CHI B4,CHI B4,CHI B4,False,True,True,True,True
30,2,Play B5,Play T1,PLAY T1,PLAY B5,PLAY B5,True,True,False,False,False
34,0,Play F2,Play F2,PLAY F2,PLAY F2,PLAY F2,True,True,True,True,True
36,1,Play B4,Play T6,PLAY T6,PLAY B4,PLAY B4|PLAY W9,True,True,False,False,False
38,2,Play W9,Play T1,PLAY T1,PLAY W9,PLAY W9,True,True,False,False,False
42,0,Play B1,Play B1,PLAY B1,PLAY B1,PLAY B1|PLAY W2,False,True,True,True,True
44,1,Play W9,Play W1,PLAY W1,PLAY W9,PLAY W9|PLAY T1,True,True,False,False,False
46,2,Play W9,Play T1,PLAY T1,PLAY W9,PLAY W9,True,True,False,False,False
50,0,Play B6,Play T9,PLAY T9,PLAY B6,PLAY B6|PLAY T2,False,True,False,False,False
52,1,Play B9,Play B9,PLAY B9,PLAY B9,PLAY B9|PLAY T1|PLAY W1,False,True,True,True,True
54,2,Play J2,Play F3,PLAY F3,PLAY J2,PLAY J2,False,True,False,False,False
58,0,Play J2,Play J2,PLAY J2,PLAY J2,PLAY J2,False,True,True,True,True
