turn,player,response,predicted_action,predicted_normalized,predicted_family,chaga_top1_action,chaga_family,chaga_top3_actions,teacher_accept_top3,top1_match,top3_match,relaxed_match
85,0,PLAY B7,Play B7,PLAY B7,PLAY,PLAY B7,PLAY,PLAY B7,False,True,True,True
87,1,PLAY F1,Play F1,PLAY F1,PLAY,PLAY F1,PLAY,PLAY F1,False,True,True,True
90,0,PLAY B8,Play B8,PLAY B8,PLAY,PLAY B8,PLAY,PLAY B8,False,True,True,True
92,1,PLAY B9,Play B9,PLAY B9,PLAY,PLAY B9,PLAY,PLAY B9|PLAY W4,False,True,True,True
98,0,PLAY T3,Play T3,PLAY T3,PLAY,PLAY T3,PLAY,PLAY T3,False,True,True,True
100,1,PLAY B5,Play B5,PLAY B5,PLAY,PLAY B5,PLAY,PLAY B5,False,True,True,True
106,0,PLAY T4,Play T4,PLAY T4,PLAY,PLAY T4,PLAY,PLAY T4,False,True,True,True
108,1,PLAY B9,Play B9,PLAY B9,PLAY,PLAY B9,PLAY,PLAY B9,False,True,True,True
113,0,PLAY T9,Play T9,PLAY T9,PLAY,PLAY T9,PLAY,PLAY T9,False,True,True,True
115,1,PLAY B5,Play B5,PLAY B5,PLAY,PLAY B5,PLAY,PLAY B5,False,True,True,True
124,1,PLAY B5,Play B5,PLAY B5,PLAY,PLAY B5,PLAY,PLAY B5,False,True,True,True
132,1,PLAY F3,Play F3,PLAY F3,PLAY,PLAY F3,PLAY,PLAY F3,False,True,True,True
140,1,PLAY B3,Play B3,PLAY B3,PLAY,PLAY B3,PLAY,PLAY B3,False,True,True,True
148,1,PLAY B7,Play B7,PLAY B7,PLAY,PLAY B7,PLAY,PLAY B7,False,True,True,True
156,1,PLAY T3,Play T3,PLAY T3,PLAY,PLAY T3,PLAY,PLAY T3|PLAY W9,False,True,True,True
2,0,PLAY T3,Play W2,PLAY W2,PLAY,PLAY T3,PLAY,PLAY T3|PLAY B6|PLAY W6,True,False,False,False
8,3,PLAY B2,Play W2,PLAY W2,PLAY,PLAY B2,PLAY,PLAY B2|PLAY W2|PLAY T9,True,False,True,True
10,0,PLAY T3,Play W2,PLAY W2,PLAY,PLAY T3,PLAY,PLAY T3|PLAY B6,True,False,False,False
16,3,PLAY W2,Play W2,PLAY W2,PLAY,PLAY W2,PLAY,PLAY W2|PLAY B9,True,True,True,True
18,0,PLAY B6,Play W2,PLAY W2,PLAY,PLAY B6,PLAY,PLAY B6|PLAY W2|PLAY T1,True,False,True,True
24,3,PLAY B9,Play B9,PLAY B9,PLAY,PLAY B9,PLAY,PLAY B9|PLAY J1,True,True,True,True
26,0,PLAY T6,Play W2,PLAY W2,PLAY,PLAY T6,PLAY,PLAY T6|PLAY T1|PLAY W2,True,False,True,True
32,3,PLAY F1,Play F1,PLAY F1,PLAY,PLAY F1,PLAY,PLAY F1|PLAY J1,True,True,True,True
34,0,PLAY T1,Play W2,PLAY W2,PLAY,PLAY T1,PLAY,PLAY T1|PLAY W2,True,False,True,True
40,3,PLAY W2,Play W2,PLAY W2,PLAY,PLAY W2,PLAY,PLAY W2|PLAY J1,True,True,True,True
42,0,PLAY W2,Play W2,PLAY W2,PLAY,PLAY W2,PLAY,PLAY W2,True,True,True,True
47,3,PLAY T1,Play T1,PLAY T1,PLAY,PLAY T1,PLAY,PLAY T1|PLAY J1,True,True,True,True
49,0,PLAY W7,Play W3,PLAY W3,PLAY,PLAY W7,PLAY,PLAY W7|PLAY B7,False,False,False,False
55,3,PLAY W1,Play W1,PLAY W1,PLAY,PLAY W1,PLAY,PLAY W1|PLAY J1,False,True,True,True
57,0,PLAY T9,Play W3,PLAY W3,PLAY,PLAY T9,PLAY,PLAY T9|PLAY B7|PLAY W6,False,False,False,False
63,3,PLAY J1,Play J1,PLAY J1,PLAY,PLAY J1,PLAY,PLAY J1,False,True,True,True
65,0,PLAY B9,Play W3,PLAY W3,PLAY,PLAY B9,PLAY,PLAY B9,False,False,False,False
70,3,PLAY W3,Play W3,PLAY W3,PLAY,PLAY W3,PLAY,PLAY W3|PLAY J2,False,True,True,True
72,0,PLAY W3,Play W3,PLAY W3,PLAY,PLAY W3,PLAY,PLAY W3|PLAY T8,False,True,True,True
81,3,PLAY B2,Play B2,PLAY B2,PLAY,PLAY B2,PLAY,PLAY B2,False,True,True,True
83,0,PLAY W8,Play W8,PLAY W8,PLAY,PLAY W8,PLAY,PLAY W8|PLAY J3,False,True,True,True
89,3,PLAY W2,Play W2,PLAY W2,PLAY,PLAY W2,PLAY,PLAY W2,False,True,True,True
91,0,PLAY W8,Play W8,PLAY W8,PLAY,PLAY W8,PLAY,PLAY W8|PLAY J3,False,True,True,True
97,3,PLAY W9,Play W5,PLAY W5,PLAY,PLAY W9,PLAY,PLAY W9|PLAY W5|PLAY J2,False,False,True,False
99,0,PLAY J3,Play W5,PLAY W5,PLAY,PLAY J3,PLAY,PLAY J3|PLAY W5,False,False,True,False
105,3,PLAY W5,Play J2,PLAY J2,PLAY,PLAY W5,PLAY,PLAY W5|PLAY W7|PLAY J2,False,False,True,False
107,0,PLAY W5,Play W5,PLAY W5,PLAY,PLAY W5,PLAY,PLAY W5|PLAY F3|PLAY W6,False,True,True,True
112,3,PLAY F2,Play F2,PLAY F2,PLAY,PLAY F2,PLAY,PLAY F2|PLAY W7,False,True,True,True
114,0,PLAY T1,Play W7,PLAY W7,PLAY,PLAY T1,PLAY,PLAY T1|PLAY F3|PLAY W7,False,False,True,False
120,3,PLAY W7,Play W7,PLAY W7,PLAY,PLAY W7,PLAY,PLAY W7|PLAY T4,False,True,True,True
122,0,PLAY W7,Play W7,PLAY W7,PLAY,PLAY W7,PLAY,PLAY W7|PLAY F3,False,True,True,True
6,2,PLAY F2,Play W3,PLAY W3,PLAY,PLAY F2,PLAY,PLAY F2|PLAY T1,True,False,False,False
8,3,PLAY F4,Play W4,PLAY W4,PLAY,PLAY F4,PLAY,PLAY F4,True,False,False,False
13,2,CHI T7,Chi T7,CHI T7,CHI,CHI T7,CHI,CHI T7,False,True,True,True
15,3,PLAY J2,Play T1,PLAY T1,PLAY,PLAY J2,PLAY,PLAY J2,True,False,False,False
21,2,PLAY B9,Play W8,PLAY W8,PLAY,PLAY B9,PLAY,PLAY B9|PLAY T4|PLAY W8,True,False,True,True
23,3,PLAY W7,Play W7,PLAY W7,PLAY,PLAY W7,PLAY,PLAY W7|PLAY B2|PLAY B4,True,True,True,True
29,2,PLAY T4,Play T4,PLAY T4,PLAY,PLAY T4,PLAY,PLAY T4,True,True,True,True
31,3,PLAY B2,Play B2,PLAY B2,PLAY,PLAY B2,PLAY,PLAY B2,True,True,True,True
34,2,HU,Hu,HU,HU,HU,HU,HU,False,True,True,True
7,1,PLAY F3,Play W1,PLAY W1,PLAY,PLAY F3,PLAY,PLAY F3|PLAY F1|PLAY W9,True,False,False,False
9,2,PLAY W9,Play W9,PLAY W9,PLAY,PLAY W9,PLAY,PLAY W9|PLAY B8,True,True,True,True
13,1,CHI B4,Chi B5,CHI B5,CHI,CHI B4,CHI,CHI B4|PASS,False,False,False,False
15,2,PLAY B8,Play T2,PLAY T2,PLAY,PLAY B8,PLAY,PLAY B8|PLAY B2|PLAY F1,True,False,False,False
20,1,CHI T5,Chi T5,CHI T5,CHI,CHI T5,CHI,CHI T5,False,True,True,True
22,2,PLAY F3,Play T2,PLAY T2,PLAY,PLAY F3,PLAY,PLAY F3|PLAY B2,True,False,False,False
28,1,PLAY W9,Play W5,PLAY W5,PLAY,PLAY W9,PLAY,PLAY W9,True,False,False,False
30,2,PLAY B2,Play B2,PLAY B2,PLAY,PLAY B2,PLAY,PLAY B2|PLAY F1|PLAY W4,True,True,True,True
36,1,PLAY T9,Play W5,PLAY W5,PLAY,PLAY T9,PLAY,PLAY T9,True,False,False,False
38,2,PLAY W7,Play W7,PLAY W7,PLAY,PLAY W7,PLAY,PLAY W7,True,True,True,True
44,1,PLAY B9,Play W5,PLAY W5,PLAY,PLAY B9,PLAY,PLAY B9|PLAY T6,True,False,False,False
46,2,PLAY W4,Play F1,PLAY F1,PLAY,PLAY W4,PLAY,PLAY W4|PLAY F4,True,False,False,False
49,2,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
55,1,PLAY W1,Play W6,PLAY W6,PLAY,PLAY W1,PLAY,PLAY W1|PLAY B6,False,False,False,False
57,2,PLAY B4,Play B4,PLAY B4,PLAY,PLAY B4,PLAY,PLAY B4,False,True,True,True
63,1,PLAY F1,Play W2,PLAY W2,PLAY,PLAY F1,PLAY,PLAY F1|PLAY J2,True,False,False,False
65,2,PLAY B5,Play B5,PLAY B5,PLAY,PLAY B5,PLAY,PLAY B5,False,True,True,True
68,2,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
74,1,PLAY B2,Play W2,PLAY W2,PLAY,PLAY B2,PLAY,PLAY B2|PLAY W2,False,False,True,False
76,2,PLAY B6,Play B6,PLAY B6,PLAY,PLAY B6,PLAY,PLAY B6,False,True,True,True
82,1,PLAY F1,Play W2,PLAY W2,PLAY,PLAY F1,PLAY,PLAY F1,False,False,False,False
84,2,PLAY F4,Play T1,PLAY T1,PLAY,PLAY F4,PLAY,PLAY F4|PLAY F2,False,False,False,False
90,1,PLAY J3,Play W2,PLAY W2,PLAY,PLAY J3,PLAY,PLAY J3|PLAY B6,False,False,False,False
92,2,PLAY F2,Play F2,PLAY F2,PLAY,PLAY F2,PLAY,PLAY F2,False,True,True,True
98,1,PLAY B6,Play B6,PLAY B6,PLAY,PLAY B6,PLAY,PLAY B6|PLAY W6,False,True,True,True
100,2,PLAY B2,Play B2,PLAY B2,PLAY,PLAY B2,PLAY,PLAY B2,False,True,True,True
106,1,PLAY W6,Play B3,PLAY B3,PLAY,PLAY W6,PLAY,PLAY W6|PLAY B3,False,False,True,False
108,2,PLAY W1,Play W1,PLAY W1,PLAY,PLAY W1,PLAY,PLAY W1,False,True,True,True
112,1,PLAY B5,Play B3,PLAY B3,PLAY,PLAY B5,PLAY,PLAY B5|PLAY T7|PLAY B3,False,False,True,False
114,2,PLAY B1,Play B1,PLAY B1,PLAY,PLAY B1,PLAY,PLAY B1|PLAY T1,False,True,True,True
2,0,PLAY F4,Play W3,PLAY W3,PLAY,PLAY F4,PLAY,PLAY F4|PLAY F2|PLAY B8,True,False,False,False
3,3,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
5,0,PLAY F2,Play W3,PLAY W3,PLAY,PLAY F2,PLAY,PLAY F2|PLAY B8,True,False,False,False
11,3,PLAY B3,Play W1,PLAY W1,PLAY,PLAY B3,PLAY,PLAY B3|PLAY W1,True,False,True,True
13,0,PLAY J2,Play W3,PLAY W3,PLAY,PLAY J2,PLAY,PLAY J2,True,False,False,False
19,3,PLAY W1,Play W1,PLAY W1,PLAY,PLAY W1,PLAY,PLAY W1|PLAY F3,True,True,True,True
21,0,PLAY B8,Play W5,PLAY W5,PLAY,PLAY B8,PLAY,PLAY B8|PLAY W5,True,False,True,True
27,3,PLAY F3,Play W4,PLAY W4,PLAY,PLAY F3,PLAY,PLAY F3|PLAY F1|PLAY W4,True,False,True,True
29,0,PLAY W5,Play W5,PLAY W5,PLAY,PLAY W5,PLAY,PLAY W5,True,True,True,True
35,3,PLAY W8,Play W4,PLAY W4,PLAY,PLAY W8,PLAY,PLAY W8|PLAY F1|PLAY W4,True,False,True,True
37,0,PLAY T9,Play T9,PLAY T9,PLAY,PLAY T9,PLAY,PLAY T9|PLAY T3,True,True,True,True
43,3,PLAY W8,Play W4,PLAY W4,PLAY,PLAY W8,PLAY,PLAY W8|PLAY F1,True,False,False,False
45,0,PLAY W4,Play W4,PLAY W4,PLAY,PLAY W4,PLAY,PLAY W4,False,True,True,True
52,0,PLAY T5,Play T5,PLAY T5,PLAY,PLAY T5,PLAY,PLAY T5,False,True,True,True
57,3,PLAY W6,Play J2,PLAY J2,PLAY,PLAY W6,PLAY,PLAY W6|PLAY J3,False,False,False,False
59,0,PLAY W1,Play W1,PLAY W1,PLAY,PLAY W1,PLAY,PLAY W1,False,True,True,True
9,2,PLAY F4,Play T7,PLAY T7,PLAY,PLAY F4,PLAY,PLAY F4,True,False,False,False
11,3,PLAY T4,Play T8,PLAY T8,PLAY,PLAY T4,PLAY,PLAY T4|PLAY T8|PLAY B9,True,False,True,True
16,2,PLAY W8,Play W1,PLAY W1,PLAY,PLAY W8,PLAY,PLAY W8|PLAY W6|PLAY B7,True,False,False,False
18,3,PLAY B9,Play W2,PLAY W2,PLAY,PLAY B9,PLAY,PLAY B9|PLAY T8,True,False,False,False
24,2,PLAY W6,Play W6,PLAY W6,PLAY,PLAY W6,PLAY,PLAY W6,True,True,True,True
26,3,PLAY F4,Play T8,PLAY T8,PLAY,PLAY F4,PLAY,PLAY F4|PLAY T8,True,False,True,True
32,2,PLAY F3,Play T3,PLAY T3,PLAY,PLAY F3,PLAY,PLAY F3,True,False,False,False
34,3,PLAY B9,Play T8,PLAY T8,PLAY,PLAY B9,PLAY,PLAY B9|PLAY T8,True,False,True,True
40,2,PLAY T4,Play W1,PLAY W1,PLAY,PLAY T4,PLAY,PLAY T4|PLAY B6|PLAY B3,True,False,False,False
42,3,PLAY J2,Play T8,PLAY T8,PLAY,PLAY J2,PLAY,PLAY J2|PLAY B2|PLAY T8,True,False,True,True
47,2,PLAY B6,Play W1,PLAY W1,PLAY,PLAY B6,PLAY,PLAY B6|PLAY T9,True,False,False,False
49,3,PLAY F1,Play F1,PLAY F1,PLAY,PLAY F1,PLAY,PLAY F1|PLAY T8|PLAY B2,True,True,True,True
55,2,PLAY T9,Play W1,PLAY W1,PLAY,PLAY T9,PLAY,PLAY T9|PLAY B6|PLAY B5,False,False,False,False
57,3,PLAY T8,Play T8,PLAY T8,PLAY,PLAY T8,PLAY,PLAY T8,False,True,True,True
61,2,CHI W2,Chi W2,CHI W2,CHI,CHI W2,CHI,CHI W2,False,True,True,True
63,3,PLAY W2,Play W5,PLAY W5,PLAY,PLAY W2,PLAY,PLAY W2|PLAY W5|PLAY B2,False,False,True,False
69,2,PLAY W9,Play W9,PLAY W9,PLAY,PLAY W9,PLAY,PLAY W9|PLAY B7,False,True,True,True
71,3,PLAY B2,Play B2,PLAY B2,PLAY,PLAY B2,PLAY,PLAY B2|PLAY B5,False,True,True,True
77,2,PLAY T8,Play T8,PLAY T8,PLAY,PLAY T8,PLAY,PLAY T8,False,True,True,True
79,3,PLAY F3,Play F3,PLAY F3,PLAY,PLAY F3,PLAY,PLAY F3,False,True,True,True
85,2,PLAY T7,Play T7,PLAY T7,PLAY,PLAY T7,PLAY,PLAY T7|PLAY B7,False,True,True,True
87,3,PLAY J1,Play J1,PLAY J1,PLAY,PLAY J1,PLAY,PLAY J1,False,True,True,True
4,1,PLAY B6,Play W9,PLAY W9,PLAY,PLAY B6,PLAY,PLAY B6|PLAY B3|PLAY W9,True,False,True,True
6,2,PLAY F1,Play W3,PLAY W3,PLAY,PLAY F1,PLAY,PLAY F1|PLAY J1,True,False,False,False
11,1,PLAY B3,Play W9,PLAY W9,PLAY,PLAY B3,PLAY,PLAY B3|PLAY W9,True,False,True,True
12,2,CHI B3,Chi B4,CHI B4,CHI,CHI B3,CHI,CHI B3|CHI B2|PASS,False,False,False,False
18,1,PLAY W3,Play W3,PLAY W3,PLAY,PLAY W3,PLAY,PLAY W3|PLAY W9,True,True,True,True
20,2,PLAY B1,Play W6,PLAY W6,PLAY,PLAY B1,PLAY,PLAY B1,True,False,False,False
26,1,PLAY W9,Play W8,PLAY W8,PLAY,PLAY W9,PLAY,PLAY W9|PLAY T9,True,False,False,False
28,2,PLAY T2,Play W4,PLAY W4,PLAY,PLAY T2,PLAY,PLAY T2|PLAY T4,True,False,False,False
34,1,PLAY T2,Play W8,PLAY W8,PLAY,PLAY T2,PLAY,PLAY T2|PLAY W8|PLAY T9,True,False,True,True
36,2,PLAY W9,Play W9,PLAY W9,PLAY,PLAY W9,PLAY,PLAY W9|PLAY T4,True,True,True,True
42,1,PLAY T9,Play W8,PLAY W8,PLAY,PLAY T9,PLAY,PLAY T9|PLAY W8,True,False,True,True
44,2,PLAY T4,Play T4,PLAY T4,PLAY,PLAY T4,PLAY,PLAY T4,True,True,True,True
50,1,PLAY W8,Play W8,PLAY W8,PLAY,PLAY W8,PLAY,PLAY W8,False,True,True,True
51,2,CHI W7,Pass,PASS,PASS,CHI W7,CHI,CHI W7|PASS,False,False,True,False
52,1,HU,Hu,HU,HU,HU,HU,HU|PASS,False,True,True,True
2,0,PLAY F2,Play T2,PLAY T2,PLAY,PLAY F2,PLAY,PLAY F2,True,False,False,False
4,1,PLAY B2,Play W2,PLAY W2,PLAY,PLAY B2,PLAY,PLAY B2|PLAY B4|PLAY T8,True,False,False,False
10,0,PLAY T9,Play W4,PLAY W4,PLAY,PLAY T9,PLAY,PLAY T9|PLAY T2|PLAY T5,True,False,False,False
12,1,PLAY T8,Play T2,PLAY T2,PLAY,PLAY T8,PLAY,PLAY T8|PLAY B4|PLAY T2,True,False,True,True
18,0,PLAY T8,Play T2,PLAY T2,PLAY,PLAY T8,PLAY,PLAY T8|PLAY B5,True,False,False,False
20,1,PLAY T2,Play T2,PLAY T2,PLAY,PLAY T2,PLAY,PLAY T2|PLAY B4,True,True,True,True
26,0,PLAY W1,Play W1,PLAY W1,PLAY,PLAY W1,PLAY,PLAY W1|PLAY B5,True,True,True,True
28,1,PLAY B4,Play B1,PLAY B1,PLAY,PLAY B4,PLAY,PLAY B4,True,False,False,False
34,0,PLAY F3,Play T2,PLAY T2,PLAY,PLAY F3,PLAY,PLAY F3,True,False,False,False
36,1,PLAY B1,Play B1,PLAY B1,PLAY,PLAY B1,PLAY,PLAY B1,True,True,True,True
42,0,PLAY W7,Play W4,PLAY W4,PLAY,PLAY W7,PLAY,PLAY W7|PLAY B5,True,False,False,False
44,1,PLAY B7,Play B7,PLAY B7,PLAY,PLAY B7,PLAY,PLAY B7,True,True,True,True
50,0,PLAY B5,Play W3,PLAY W3,PLAY,PLAY B5,PLAY,PLAY B5|PLAY W9|PLAY T5,False,False,False,False
52,1,PLAY F3,Play F3,PLAY F3,PLAY,PLAY F3,PLAY,PLAY F3,False,True,True,True
58,0,PLAY B5,Play W3,PLAY W3,PLAY,PLAY B5,PLAY,PLAY B5|PLAY W9|PLAY T5,False,False,False,False
60,1,PLAY T2,Play T2,PLAY T2,PLAY,PLAY T2,PLAY,PLAY T2,False,True,True,True
66,0,PLAY T6,Play W3,PLAY W3,PLAY,PLAY T6,PLAY,PLAY T6|PLAY W9,False,False,False,False
68,1,PLAY W3,Play W3,PLAY W3,PLAY,PLAY W3,PLAY,PLAY W3,False,True,True,True
74,0,PLAY J1,Play W3,PLAY W3,PLAY,PLAY J1,PLAY,PLAY J1|PLAY T6,False,False,False,False
76,1,PLAY T9,Play T9,PLAY T9,PLAY,PLAY T9,PLAY,PLAY T9,False,True,True,True
81,1,HU,Hu,HU,HU,HU,HU,HU|PASS,False,True,True,True
2,0,PLAY J3,Play W1,PLAY W1,PLAY,PLAY J3,PLAY,PLAY J3|PLAY T8,True,False,False,False
8,3,PLAY F1,Play W2,PLAY W2,PLAY,PLAY F1,PLAY,PLAY F1|PLAY F3|PLAY J1,True,False,False,False
10,0,PLAY F2,Play T8,PLAY T8,PLAY,PLAY F2,PLAY,PLAY F2,True,False,False,False
16,3,PLAY J1,Play W2,PLAY W2,PLAY,PLAY J1,PLAY,PLAY J1|PLAY F3,True,False,False,False
18,0,PLAY J1,Play T8,PLAY T8,PLAY,PLAY J1,PLAY,PLAY J1,True,False,False,False
24,3,PLAY F3,Play W2,PLAY W2,PLAY,PLAY F3,PLAY,PLAY F3,True,False,False,False
26,0,PLAY J2,Play W1,PLAY W1,PLAY,PLAY J2,PLAY,PLAY J2|PLAY T8,True,False,False,False
35,3,PLAY W2,Play W2,PLAY W2,PLAY,PLAY W2,PLAY,PLAY W2,True,True,True,True
36,0,CHI W2,Chi W2,CHI W2,CHI,CHI W2,CHI,CHI W2,False,True,True,True
42,3,PLAY W8,Play W5,PLAY W5,PLAY,PLAY W8,PLAY,PLAY W8|PLAY T3,True,False,False,False
44,0,PLAY T4,Play W5,PLAY W5,PLAY,PLAY T4,PLAY,PLAY T4|PLAY B4,True,False,False,False
49,3,PLAY W2,Play W2,PLAY W2,PLAY,PLAY W2,PLAY,PLAY W2,True,True,True,True
51,0,PLAY W9,Play W5,PLAY W5,PLAY,PLAY W9,PLAY,PLAY W9,False,False,False,False
57,3,PLAY T8,Play W5,PLAY W5,PLAY,PLAY T8,PLAY,PLAY T8|PLAY T3,False,False,False,False
59,0,PLAY T8,Play W5,PLAY W5,PLAY,PLAY T8,PLAY,PLAY T8,True,False,False,False
64,3,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
66,0,PLAY B8,Play W5,PLAY W5,PLAY,PLAY B8,PLAY,PLAY B8|PLAY B9,False,False,False,False
72,3,PLAY B1,Play W5,PLAY W5,PLAY,PLAY B1,PLAY,PLAY B1|PLAY B3,False,False,False,False
74,0,PLAY B9,Play B4,PLAY B4,PLAY,PLAY B9,PLAY,PLAY B9,False,False,False,False
80,3,PLAY B3,Play B3,PLAY B3,PLAY,PLAY B3,PLAY,PLAY B3|PLAY B7,False,True,True,True
81,0,CHI B2,Chi B2,CHI B2,CHI,CHI B2,CHI,CHI B2|PASS,False,True,True,True
85,3,CHI W5,Chi W5,CHI W5,CHI,CHI W5,CHI,CHI W5,False,True,True,True
87,0,PLAY T7,Play T7,PLAY T7,PLAY,PLAY T7,PLAY,PLAY T7,False,True,True,True
88,3,HU,Hu,HU,HU,HU,HU,HU|PASS,False,True,True,True
6,2,PLAY T1,Play T1,PLAY T1,PLAY,PLAY T1,PLAY,PLAY T1|PLAY T4|PLAY T8,True,True,True,True
8,3,PLAY F2,Play W6,PLAY W6,PLAY,PLAY F2,PLAY,PLAY F2|PLAY F3,True,False,False,False
14,2,PLAY T4,Play W1,PLAY W1,PLAY,PLAY T4,PLAY,PLAY T4|PLAY T8|PLAY W3,True,False,False,False
16,3,PLAY F3,Play T2,PLAY T2,PLAY,PLAY F3,PLAY,PLAY F3|PLAY J3,True,False,False,False
22,2,PLAY T5,Play W1,PLAY W1,PLAY,PLAY T5,PLAY,PLAY T5|PLAY W3|PLAY W1,True,False,True,True
24,3,PLAY J3,Play W2,PLAY W2,PLAY,PLAY J3,PLAY,PLAY J3,True,False,False,False
30,2,PLAY T5,Play W1,PLAY W1,PLAY,PLAY T5,PLAY,PLAY T5|PLAY W3|PLAY W1,True,False,True,True
32,3,PLAY T9,Play T2,PLAY T2,PLAY,PLAY T9,PLAY,PLAY T9|PLAY T2,True,False,True,True
38,2,PLAY B4,Play W1,PLAY W1,PLAY,PLAY B4,PLAY,PLAY B4|PLAY T8,True,False,False,False
39,3,CHI B3,Chi B3,CHI B3,CHI,CHI B3,CHI,CHI B3|PASS,False,True,True,True
43,2,PLAY B3,Play W1,PLAY W1,PLAY,PLAY B3,PLAY,PLAY B3|PLAY T8|PLAY W4,True,False,False,False
45,3,PLAY W3,Play W3,PLAY W3,PLAY,PLAY W3,PLAY,PLAY W3,True,True,True,True
51,2,PLAY T8,Play W1,PLAY W1,PLAY,PLAY T8,PLAY,PLAY T8|PLAY W3,False,False,False,False
53,3,PLAY B5,Play B5,PLAY B5,PLAY,PLAY B5,PLAY,PLAY B5,False,True,True,True
59,2,PLAY T8,Play W1,PLAY W1,PLAY,PLAY T8,PLAY,PLAY T8,False,False,False,False
61,3,PLAY F4,Play F4,PLAY F4,PLAY,PLAY F4,PLAY,PLAY F4,False,True,True,True
67,2,PLAY F3,Play W1,PLAY W1,PLAY,PLAY F3,PLAY,PLAY F3,False,False,False,False
69,3,PLAY B4,Play B4,PLAY B4,PLAY,PLAY B4,PLAY,PLAY B4,False,True,True,True
75,2,PLAY B1,Play W1,PLAY W1,PLAY,PLAY B1,PLAY,PLAY B1|PLAY W3|PLAY F1,False,False,False,False
77,3,PLAY T6,Play T6,PLAY T6,PLAY,PLAY T6,PLAY,PLAY T6,False,True,True,True
83,2,PLAY F4,Play W1,PLAY W1,PLAY,PLAY F4,PLAY,PLAY F4|PLAY W1,False,False,True,False
85,3,PLAY B5,Play B5,PLAY B5,PLAY,PLAY B5,PLAY,PLAY B5,False,True,True,True
91,2,PLAY W6,Play W1,PLAY W1,PLAY,PLAY W6,PLAY,PLAY W6|PLAY F1|PLAY W1,False,False,True,False
93,3,PLAY T5,Play T5,PLAY T5,PLAY,PLAY T5,PLAY,PLAY T5,False,True,True,True
99,2,PLAY T7,Play W1,PLAY W1,PLAY,PLAY T7,PLAY,PLAY T7|PLAY W1|PLAY F1,False,False,True,False
101,3,PLAY T7,Play W2,PLAY W2,PLAY,PLAY T7,PLAY,PLAY T7,False,False,False,False
107,2,PLAY W1,Play W3,PLAY W3,PLAY,PLAY W1,PLAY,PLAY W1|PLAY F1,False,False,False,False
109,3,PLAY B1,Play B1,PLAY B1,PLAY,PLAY B1,PLAY,PLAY B1,False,True,True,True
115,2,PLAY W9,Play W8,PLAY W8,PLAY,PLAY W9,PLAY,PLAY W9|PLAY W1|PLAY B3,False,False,False,False
117,3,PLAY B3,Play B3,PLAY B3,PLAY,PLAY B3,PLAY,PLAY B3,False,True,True,True
122,3,HU,Hu,HU,HU,HU,HU,HU|PASS,False,True,True,True
7,1,PLAY F2,Play W2,PLAY W2,PLAY,PLAY F2,PLAY,PLAY F2|PLAY W2,True,False,True,True
9,2,PLAY F2,Play T1,PLAY T1,PLAY,PLAY F2,PLAY,PLAY F2|PLAY F3,True,False,False,False
15,1,PLAY F3,Play W2,PLAY W2,PLAY,PLAY F3,PLAY,PLAY F3,True,False,False,False
17,2,PLAY F3,Play W3,PLAY W3,PLAY,PLAY F3,PLAY,PLAY F3,True,False,False,False
23,1,PLAY W2,Play W2,PLAY W2,PLAY,PLAY W2,PLAY,PLAY W2|PLAY B7,True,True,True,True
25,2,PLAY F1,Play W3,PLAY W3,PLAY,PLAY F1,PLAY,PLAY F1,True,False,False,False
30,1,PLAY F3,Play T7,PLAY T7,PLAY,PLAY F3,PLAY,PLAY F3,True,False,False,False
32,2,PLAY T3,Play W3,PLAY W3,PLAY,PLAY T3,PLAY,PLAY T3,True,False,False,False
41,1,PLAY F2,Play T7,PLAY T7,PLAY,PLAY F2,PLAY,PLAY F2,True,False,False,False
43,2,PLAY J2,Play W3,PLAY W3,PLAY,PLAY J2,PLAY,PLAY J2,True,False,False,False
48,1,CHI T2,Chi T2,CHI T2,CHI,CHI T2,CHI,CHI T2|PASS,False,True,True,True
50,2,PLAY W7,Play W3,PLAY W3,PLAY,PLAY W7,PLAY,PLAY W7|PLAY W8,True,False,False,False
56,1,PLAY T1,Play T1,PLAY T1,PLAY,PLAY T1,PLAY,PLAY T1,False,True,True,True
58,2,PLAY W9,Play W3,PLAY W3,PLAY,PLAY W9,PLAY,PLAY W9,False,False,False,False
64,1,PLAY F1,Play T7,PLAY T7,PLAY,PLAY F1,PLAY,PLAY F1,False,False,False,False
66,2,PLAY F1,Play W3,PLAY W3,PLAY,PLAY F1,PLAY,PLAY F1,False,False,False,False
72,1,PLAY T7,Play W7,PLAY W7,PLAY,PLAY T7,PLAY,PLAY T7|PLAY W8|PLAY W7,False,False,True,False
74,2,PLAY T1,Play W3,PLAY W3,PLAY,PLAY T1,PLAY,PLAY T1|PLAY B6,False,False,False,False
80,1,PLAY T7,Play T7,PLAY T7,PLAY,PLAY T7,PLAY,PLAY T7|PLAY W8|PLAY W7,False,True,True,True
82,2,PLAY B6,Play W8,PLAY W8,PLAY,PLAY B6,PLAY,PLAY B6,False,False,False,False
